##OTU ID	CD.IV.B.24	UC.PO.3M.93	no.IV.3M.123	CD.IV.3M.79	UC.PO.B.28	UC.IV.3M.103	no.PO.B.53	UC.PO.3M.95	CD.IV.B.19	CD.IV.B.43	UC.PO.B.11	CD.PO.3M.64	UC.PO.B.30	UC.IV.3M.104	UC.PO.B.36	no.IV.B.57	CD.IV.B.26	UC.IV.B.40	no.PO.B.45	no.IV.B.60	no.IV.3M.125	no.PO.B.52	no.IV.3M.118	CD.IV.B.22	CD.PO.B.4	no.IV.B.61	UC.PO.3M.94	no.PO.3M.116	no.PO.3M.115	no.PO.3M.113	no.PO.3M.114	CD.PO.B.7	CD.IV.B.20	CD.IV.3M.83	CD.PO.B.12	CD.IV.3M.106	CD.PO.3M.66	CD.IV.3M.85	UC.PO.3M.99	no.IV.3M.126	UC.PO.B.29	no.IV.3M.119	CD.PO.3M.71	UC.IV.3M.105	CD.PO.B.2	no.IV.B.63	CD.PO.3M.75	UC.PO.B.31	CD.PO.3M.76	CD.IV.B.15	no.PO.B.51	no.IV.B.55	CD.IV.B.14	no.IV.3M.124	no.PO.B.49	UC.IV.B.39	CD.PO.3M.72	CD.IV.B.25	CD.IV.B.18	CD.IV.3M.82	CD.PO.B.8	no.IV.3M.120	no.PO.3M.109	CD.IV.B.17	no.PO.3M.108	UC.IV.3M.100	CD.PO.B.5	UC.PO.3M.98	CD.IV.3M.88	CD.IV.3M.80	no.PO.B.48	CD.PO.B.1	UC.IV.B.37	CD.PO.3M.67	no.PO.B.50	UC.IV.B.27	UC.PO.3M.74	UC.IV.3M.107	CD.PO.3M.69	CD.PO.B.9	UC.IV.B.41	no.IV.3M.117	no.PO.3M.112	CD.PO.3M.68	UC.PO.3M.92	UC.IV.3M.102	no.IV.B.62	UC.PO.B.33	CD.IV.3M.89	UC.PO.B.35	UC.IV.B.38	UC.PO.3M.97	no.IV.3M.122	UC.IV.3M.101	UC.IV.B.44	CD.PO.3M.73	CD.IV.3M.77	no.PO.3M.111	no.IV.B.58	no.PO.B.47	CD.IV.3M.86	CD.PO.3M.70	UC.IV.B.42	CD.PO.3M.65	CD.IV.3M.81	CD.IV.B.23	UC.PO.B.34	no.IV.B.56	CD.IV.3M.87	no.IV.B.54	CD.IV.B.16	CD.IV.3M.78	CD.PO.B.6	CD.PO.B.10	no.IV.3M.121	CD.PO.B.13	no.PO.B.46	CD.IV.B.21	CD.IV.3M.84	no.IV.B.59	UC.PO.B.32	CD.PO.B.3	UC.PO.3M.91	UC.PO.3M.96	no.PO.3M.110	UC.IV.3M.90	taxonomy
Zotu70	0	0	109	69	21	76	55	0	0	1	6	127	555	43	125	0	0	12	0	23	27	0	0	0	4	0	290	15	5	15	0	1509	0	0	7547	1	0	0	2	4	6	0	1	6	0	38	2384	281	1	37	0	1	0	1	0	5	0	0	85	1	0	1	1	39	0	95	0	353	0	124	194	0	1	0	6	0	27	0	121	0	0	0	429	0	5	3	115	0	0	20	56	53	2	236	0	0	3	136	0	72	0	1	1	0	123	1	34	0	0	0	1856	1	34	0	26	0	0	0	1	0	0	0	166	3	106	1	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Faecalitalea;
Zotu448	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	62	0	0	0	0	0	0	0	0	100	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;;;
Zotu144	0	16	206	1129	4	0	0	1	1	1	1	3	15	0	4	0	5	10	2	3	5	3	3	23	3	0	4	0	381	21	163	67	198	30	23	21	6	2	0	0	1	7	104	2	0	1	56	8	1	1	226	3	190	0	8	0	1	32	458	2	44	0	0	0	5	43	0	0	22	1	0	15	96	0	15	0	0	7	1	0	0	1	337	120	1	0	1	0	1	1	920	2	2	577	20	55	2619	1	70	2	9	2	1	5	68	0	8	33	21	2	366	7	3	15	7	3	2	512	1093	2	1	34	0	0	1	6	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
Zotu130	0	164	0	0	0	0	0	0	0	3	0	0	0	0	0	0	316	0	6	0	0	0	0	0	0	0	4	1	0	0	0	1967	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	995	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	1	1	0	63	0	0	0	1	0	0	69	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1987	0	0	1	0	0	0	2043	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Eubacterium coprostanoligenes group;;
Zotu18	9	219	3058	8869	484	196	1748	2268	493	132	812	809	383	569	929	199	1424	472	54	496	784	1185	859	1384	2599	1119	355	1009	1116	1512	3582	195	1245	1744	2110	4014	1801	1264	21	242	177	507	7733	259	909	543	622	898	493	368	2281	1109	1601	1847	1101	46	975	6123	1772	1078	1033	10	1360	206	1783	2853	390	335	2082	195	1954	2403	4366	12	861	0	706	867	109	3	650	1341	58	4764	564	4	513	1041	969	768	1814	1370	191	1908	659	988	28885	1091	353	1209	413	1665	14	4193	338	705	922	1040	8892	752	13767	91	649	256	524	3105	3629	721	2877	267	2585	14851	433	750	1484	539	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
Zotu84	0	373	539	89	27	33	27	7	0	5	34	98	112	103	34	263	10	44	75	18	46	5	9	445	395	16	72	73	355	47	600	48	87	18	1488	17	0	7	3	54	151	20	411	100	2	105	271	43	333	0	166	12	0	7	10	91	1	1	25	2	690	609	7	88	535	87	149	59	6	144	41	50	36	2	23	0	18	60	2	0	121	80	317	27	530	2	35	1	2	19	41	198	13	190	36	471	4	54	27	77	46	47	0	9	8	270	45	17	86	250	27	2	3	0	53	220	5	130	523	7	3	2	30	23	63	37	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;
Zotu207	0	0	282	20	151	0	111	0	0	8	52	0	5	57	59	0	69	40	0	189	84	53	12	0	0	0	7	52	1023	16	94	1	27	1	4	0	0	0	1	37	69	54	0	15	0	22	0	1060	121	5	521	12	0	9	0	8	0	1	3	0	61	1	13	0	0	1	0	79	3	0	213	0	2	0	37	0	54	309	5	0	0	83	1	1	26	0	4	10	42	48	427	0	70	355	63	0	0	76	50	0	34	244	0	1	0	8	0	24	0	542	64	0	53	0	29	319	114	0	0	226	0	0	64	175	0	189	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
Zotu397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;
Zotu42	0	32	1	1	1035	4	7	8	0	43	2	915	0	84	1197	0	4	1704	1	22	14	10	7	3	7	0	4	329	18	2	3	3	43	511	6	31400	2	0	7	626	2	49	2667	30	686	15	58	3	7	0	1	4	0	5	2	33	7	0	101	10	31	5	81	2	189	0	55	1	0	88	1	369	5	31	1	1	18	108	0	101	143	504	2	257	0	2	20	36	0	234	19	246	161	82	527	334	2	8	18	365	4	335	4	112	160	19	17	0	11	1290	0	9	6	1997	1789	3	728	0	1	12	2	13	245	1	1279	56	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;
Zotu708	0	0	0	0	0	39	0	0	0	1	32	0	0	0	0	0	0	49	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	8	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;
Zotu436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	198	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;;
Zotu786	0	183	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 13;
Zotu301	0	0	0	0	880	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	342	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;
Zotu47	24	6118	3200	220	37	355	44	451	59	11	1020	174	3869	195	44	2227	157	191	349	2212	556	22	296	3409	186	77	54	191	9	125	2608	640	19125	2999	16212	22	37	6	27	1780	96	89	16	2022	1	404	5509	16	638	3	718	278	45	64	271	10514	4178	2	13	79	4	1650	144	103	1060	2053	10	59	342	1864	56	89	1827	2	66	4	931	15	1926	2336	268	108	2280	5	2448	35	9758	74	28	12	132	653	153	1138	94	3	13	999	316	3061	364	541	7	3	0	5715	132	127	10	676	103	183	30	2	77	229	108	1968	70	98	421	12	35	232	614	9	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
Zotu291	0	0	89	20	28	0	10	0	0	0	4	0	0	12	0	0	0	0	0	45	31	54	72	0	0	219	6	7	0	14	0	0	0	0	0	0	0	0	1	13	0	36	1	0	0	27	0	40	61	2	0	72	0	93	6	0	0	0	0	0	0	0	27	0	0	0	0	19	0	0	0	0	0	0	78	0	3	71	0	0	2	14	25	0	0	0	8	0	0	12	0	0	0	0	35	0	0	0	16	78	4	65	0	0	0	7	0	22	0	51	53	0	6	0	88	109	152	68	39	0	0	0	12	0	76	31	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001;
Zotu19	1	22	4	0	0	71	1	11	33	66	2	18	17	216	2	4	4	3	3	1	1	139	3	6	42	0	5	0	59	0	9	9	5	3	10	1721	127	557	1827	3	0	4	53	25	2	0	13	3	11	0	4	2	7	0	1	0	2	11	40	53	4	3	200	2	9	1	48863	1	3	11	2	148	4	56	0	15	1	6	2	2016	184	10	3	2049	0	1	0	1124	2	7	1	0	30	20	1	6	24	1	39	2	2	175	26006	18	0	2	3	1	979	2	2	538	3	9	8	2	8	2	17	4	10	448	0	3	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
Zotu157	6	451	426	4	48	120	1	6	0	3	43	0	26	1	1	0	7	139	35	12	37	1	28	135	63	2	117	3	220	4	68	23	89	31	954	0	0	1	3	49	170	106	1	24	0	314	260	81	759	0	198	6	0	4	45	35	1	1	1	2	16	0	17	0	103	0	13	65	9	0	43	1	0	0	6	0	41	103	4	0	1	117	58	0	324	2	50	0	0	12	2	174	5	30	318	0	2	7	11	18	50	14	2	0	2	378	1	3	1	520	7	1	57	1	39	527	1	58	203	1	3	0	64	18	10	77	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
Zotu585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Eubacterium coprostanoligenes group;;
Zotu309	1	0	317	1	4	0	2	36	9	1	64	0	1	2	0	0	22	0	657	126	26	16	25	0	0	18	473	10	1	0	0	0	0	0	0	0	0	0	1	0	0	18	1326	2	0	68	0	135	46	0	0	14	3	14	53	0	122	0	0	6	482	0	11	11	2587	0	0	24	0	98	0	0	0	0	0	0	14	4	157	145	0	5	0	0	0	0	114	190	6	2	0	0	1	1	23	0	1	0	10	87	4	30	0	0	0	213	0	27	0	38	0	26	2	0	0	46	2	21	1	1	27	0	2	37	9	4	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
Zotu658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Libanicoccus;
Zotu260	5	0	0	0	0	0	0	0	26	0	0	0	0	1	0	0	0	0	0	0	0	0	87	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	50	0	0	1	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	1649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;
Zotu583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;
Zotu358	0	0	34	6	0	2	0	36	0	0	0	0	7	3	7	0	0	5	1	59	40	0	0	0	1	2	0	0	0	1	0	2	0	0	323	0	0	0	1	0	16	0	0	5	0	7	29	0	15	1	0	0	0	0	0	1	0	0	0	0	0	0	19	0	5	1	0	120	0	0	1	0	0	0	4	0	0	0	0	0	3	0	1	0	0	0	43	0	0	36	137	0	2	718	2	0	0	0	61	8	0	0	0	0	0	0	0	2	0	4	15	0	0	0	128	12	18	3	0	0	23	0	3	0	20	1	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;;
Zotu81	0	542	240	25	0	1453	4	65	0	3	426	0	303	1	0	0	3	246	0	145	0	0	4	0	0	10	408	12	0	61	250	103	0	1	0	1	0	0	0	6	86	45	841	18	0	1	1	46	199	0	181	1	52	18	623	0	2	2	0	0	1583	1	0	144	0	0	0	19	430	533	0	0	0	0	89	0	447	0	281	0	0	0	276	0	4065	0	0	0	1	5	0	0	7	0	0	1	4	2	92	83	2	3	0	0	0	14	0	12	0	0	4	236	2	1	16	164	0	72	35	1	125	0	1	0	6	1	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;
Zotu502	0	500	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Caproiciproducens;
Zotu192	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	811	0	0	0	134	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	87	0	0	0	0	149	0	0	0	0	0	0	0	0	1	0	1	0	0	579	0	0	0	1	80	0	246	460	0	0	194	0	0	0	0	0	0	0	0	0	0	1	0	0	0	636	2	379	0	0	2	0	0	0	40	0	0	413	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Eubacterium coprostanoligenes group;;
Zotu234	0	0	0	29	2	26	0	68	0	3	6	5	0	40	0	1	196	9	0	12	14	12	14	0	90	9	127	0	417	11	3	609	0	0	260	0	0	0	1	29	122	148	1	16	0	224	87	81	144	0	0	25	0	3	11	0	1	1	1	0	0	1	8	6	1	0	14	54	0	128	0	0	0	1	52	0	77	66	4	0	12	52	9	0	262	0	35	0	153	47	192	76	42	313	122	0	0	0	13	96	13	272	0	891	0	3	69	257	0	60	15	0	9	0	53	53	1	123	244	62	49	0	24	35	205	43	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Negativibacillus;
Zotu270	1	79	17	15	2	7	6	8	103	18	13	13	77	6	1	10	4	2	56	6	0	3	5	48	12	19	36	2	52	4	28	31	32	3	182	59	6	2	3	3	19	5	3	12	0	0	22	11	6	0	34	7	20	4	10	3	1	202	11	7	11	110	0	2	227	75	2	1	120	27	5	42	58	2	18	2	0	4	38	2	4	24	87	1	9	1	1797	3	1	5	3	49	2	101	3	31	13	8	12	21	6	9	3	271	1	17	5	3	388	8	7	2	3	65	8	12	2	35	27	2	4	12	1	9	12	2	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;
Zotu259	0	0	0	54	50	0	0	50	0	0	24	0	116	0	0	0	0	0	1	61	37	0	0	0	0	0	17	0	76	0	0	64	0	0	2	1	0	0	0	11	0	0	0	1	0	25	0	150	41	0	0	1	0	0	107	0	0	0	0	0	0	1	28	0	0	0	0	110	0	0	4	0	0	0	0	0	15	7	35	0	0	0	350	0	0	0	38	0	0	102	44	74	15	130	100	0	0	1	29	0	0	0	0	0	0	0	99	0	0	0	0	2	26	0	375	42	141	0	0	8	2	0	2	3	0	2	Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;
Zotu472	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	47	0	7	0	0	0	8	0	289	0	0	0	0	0	2	0	0	0	0	0	12	1	0	0	0	1	0	1	11	1	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	3	0	3	0	0	0	0	0	0	0	6	0	6	0	0	0	10	1	0	54	0	0	0	4	0	0	0	4	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	2	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dielma;
Zotu330	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	62	0	0	3	110	0	30	0	0	118	14	0	0	17	0	0	0	0	0	0	0	0	0	576	0	4	0	2	0	18	0	74	547	0	1	6	0	288	0	0	0	0	0	0	0	0	58	0	0	1	0	213	0	0	0	0	0	0	65	0	0	26	28	0	0	0	0	0	0	0	48	0	53	61	1	0	89	0	61	0	1	0	18	1	2	0	0	0	0	1	0	60	1	0	0	0	14	0	54	304	154	8	0	139	0	0	22	0	0	22	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;
